TRGID,timeStamp,Location
TRG-69505720,12/23/2019 7:40,TS:S10
TRG-72217408,12/24/2019 7:40,Tech Rack 2:1:2
TRG-74662760,12/25/2019 7:40,TS:S10
TRG-75465245,12/26/2019 7:40,TS:S10
TRG-76954357,12/27/2019 7:40,Tech Rack 1:2:4
TRG-77302872,12/28/2019 7:40,Tech Rack 2:1:1
TRG-78623976,12/29/2019 7:40,TS:S10
TRG-79177962,12/30/2019 7:40,Tech Rack 1:4:3
TRG-79696490,12/31/2019 7:40,TS:S10
TRG-80755029,1/1/2020 7:40,TS:S10
TRG-80867401,1/2/2020 7:40,TS:S10
TRG-82695792,1/3/2020 7:40,TS:S10
TRG-82844470,1/4/2020 7:40,Tech Rack 1:1:1
TRG-82962152,1/5/2020 7:40,TS:S10
TRG-83116242,1/6/2020 7:40,TS:S10
TRG-83573423,1/7/2020 7:40,TS:S10
TRG-83975422,1/8/2020 7:40,TS:S10
TRG-84169961,1/9/2020 7:40,Tech Rack 1:1:1
TRG-84229391,1/10/2020 7:40,Tech Rack 1:3:2
TRG-85090177,1/11/2020 7:40,TS:S10
TRG-72821039,1/12/2020 7:40,TS:S10
TRG-86050305,1/13/2020 7:40,TS:S10
TRG-86173581,1/14/2020 7:40,TS:S10
TRG-85454903,1/15/2020 7:40,TS:S10
TRG-86351408,1/16/2020 7:40,TS:S10
TRG-86495382,1/17/2020 7:40,TS:S10
TRG-86308944,1/18/2020 7:40,TS:S10
TRG-87020400,1/19/2020 7:40,TS:S10
TRG-87156095,1/20/2020 7:40,Tech Rack 1:2:2
TRG-87937235,1/21/2020 7:40,TS:S10
TRG-88035662,1/22/2020 7:40,TS:S7
TRG-88518090,1/23/2020 7:40,TS:S3
TRG-88708830,1/24/2020 7:40,TS:S10
TRG-88709101,1/25/2020 7:40,TS:S10
TRG-88776391,1/26/2020 7:40,TS:S10
TRG-88826056,1/27/2020 7:40,TS:S10
TRG-88826187,1/28/2020 7:40,TS:S10
TRG-88895540,1/29/2020 7:40,TS:S4
TRG-88917435,1/30/2020 7:40,TS:S6
TRG-89323759,1/31/2020 7:40,TS:S3
TRG-89327841,2/1/2020 7:40,TS:S6
TRG-87999490,2/2/2020 7:40,Tech Rack 1:4:3
TRG-89448100,2/3/2020 7:40,TS:S3
TRG-89448105,2/4/2020 7:40,QC Station:3
TRG-89448129,2/5/2020 7:40,TS:S7
TRG-89449985,2/6/2020 7:40,TS:S6
TRG-89450291,2/7/2020 7:40,TS:S7
TRG-89577317,2/8/2020 7:40,TS:S5
TRG-89604260,2/9/2020 7:40,QC Station:3
TRG-89730815,2/10/2020 7:40,TS:S3
TRG-89731042,2/11/2020 7:40,TS:S3
TRG-89755511,2/12/2020 7:40,TS:S1
TRG-89801520,2/13/2020 7:40,TS:S4
TRG-89827271,2/14/2020 7:40,TS:S4
TRG-89888491,2/15/2020 7:40,TS:S10
TRG-90020201,2/16/2020 7:40,TS:S3
,,
TRG-89263937,03/04/20 13:14:56,L2694904
TRG-89449805,03/04/20 13:15:02,L2694904
TRG-88518005,03/04/20 13:15:08,L2694904
TRG-87565174,03/04/20 13:15:13,L2694904
TRG-86436442,03/04/20 13:15:23,L2694904
TRG-88646552,03/04/20 13:15:26,L2694904
TRG-88729867,03/04/20 13:15:30,L2694904
TRG-86400023,03/04/20 13:15:33,L2694904
TRG-90386069,03/04/20 13:15:36,L2694904
TRG-90115146,03/04/20 13:15:39,L2694904
TRG-88379112,03/04/20 13:15:41,L2694904
TRG-89169738,03/04/20 13:15:46,L2694904
TRG-77298386,03/04/20 13:32:31,L2694904
TRG-88830550,03/04/20 13:32:35,L2694904
TRG-86563051,03/04/20 13:32:37,L2694904
TRG-91107603,03/04/20 13:32:40,L2694904
TRG-88673180,03/04/20 13:32:42,L2694904
TRG-72811531,03/04/20 13:33:19,L2694904
TRG-86608757,03/04/20 13:33:26,L2694904
TRG-85565435,03/04/20 13:33:28,L2694904
TRG-90314572,03/04/20 13:33:35,L2694904
TRG-88379077,03/04/20 13:33:39,L2694904
TRG-80828202,03/04/20 13:33:44,L2694904
TRG-73880640,03/04/20 13:33:48,L2694904
TRG-90385929,03/04/20 13:33:51,L2694904
TRG-85708626,03/04/20 13:33:55,L2694904
TRG-90681210,03/04/20 13:34:01,L2694904
TRG-89577961,03/04/20 13:34:07,L2694904
TRG-86872983,03/04/20 13:34:10,L2694904
TRG-88379114,03/04/20 13:34:15,L2694904
TRG-85638626,03/04/20 13:34:23,L2694904
TRG-84832475,03/04/20 13:34:29,L2694904
TRG-90114776,03/04/20 13:34:33,L2694904
TRG-86776782,03/04/20 13:34:36,L2694904
TRG-90681477,03/04/20 13:34:40,L2694904
TRG-89906052,03/04/20 13:34:47,L2694904
TRG-90059367,03/04/20 13:34:56,L2694904
TRG-89579119,03/04/20 13:35:02,L2694904
TRG-91812622,03/04/20 13:35:06,L2694904
TRG-87565259,03/04/20 13:35:11,L2694904
TRG-89797091,03/04/20 13:35:13,L2694904
